key,text
app.safe_shutdown_title,SAFE SHUTDOWN
app.safe_shutdown_detail,Finalizing Nexus services before exit...
app.server_shutdown_title,SHUTTING DOWN
app.server_shutdown_detail,Stopping ComfyUI server before Nexus exits...
views.overlays.about_overlay_view.subtitle,"Runtime shell, local bridge, and ComfyUI launch context."
views.overlays.about_overlay_view.version,VERSION
views.overlays.about_overlay_view.comfyui_path,COMFYUI PATH
views.overlays.about_overlay_view.server_url,SERVER URL
views.overlays.about_overlay_view.python_mode,PYTHON MODE
views.overlays.about_overlay_view.close_help,Close the About overlay.
views.overlays.about_overlay_view.server_url_help,Open the current ComfyUI server URL in your browser.
app.app_shell.home,Home
pages.main_page.main_page.model,MODEL
pages.main_page.main_page.preparing_restart,PREPARING RESTART
pages.main_page.main_page.stopping_probes_and_server_process,Stopping probes and server process...
pages.main_page.main_page.input_is_locked_until_current_operation_completes,Input is locked until the current operation completes.
views.components.folder_browser_view.browse_or_paste_folder_path,BROWSE OR PASTE FOLDER PATH
views.components.folder_browser_view.parent,PARENT
views.components.folder_browser_view.drives,DRIVES
views.components.folder_browser_view.browse,BROWSE
views.components.folder_browser_view.path_input,Folder path
views.components.folder_browser_view.path_input_help,Type or paste a folder path.
views.components.folder_browser_view.parent_help,Go to the parent folder.
views.components.folder_browser_view.drives_help,Show available drives.
views.components.folder_browser_view.browse_help,Open the native folder picker.
views.controls.option_deck.run_mode_option_deck_view.run,Run
views.controls.option_deck.run_mode_option_deck_view.run_on_change,Run (On Change)
views.controls.option_deck.run_mode_option_deck_view.run_instant,Run (Instant)
views.controls.option_deck.run_mode_option_deck_view.toggle,Run mode selector
views.controls.option_deck.run_mode_option_deck_view.toggle_help,Open or close the run mode options.
views.controls.option_deck.run_mode_option_deck_view.run_on_change_help,Run the workflow when changes are detected.
views.controls.option_deck.run_mode_option_deck_view.run_instant_help,Run immediately when the backend is idle.
views.overlays.bookmark_hud_view.nexus_workflow_index,NEXUS WORKFLOW INDEX
views.overlays.bookmark_hud_view.search_workflows,SEARCH WORKFLOWS...
views.overlays.bookmark_hud_view.0_workflows_registered,0 WORKFLOWS REGISTERED
views.overlays.canvas_toolbar_view.help_center,Help Center
views.overlays.canvas_toolbar_view.terminal,TERMINAL
views.overlays.canvas_toolbar_view.shortcuts,SHORTCUTS
views.overlays.canvas_toolbar_view.fit,FIT
views.overlays.canvas_toolbar_view.map,MAP
views.overlays.canvas_toolbar_view.links,LINKS
views.overlays.command_input_view.console,console
views.overlays.loading_overlay_view.nexus_shell,NEXUS SHELL
views.overlays.loading_overlay_view.initializing_nexus_shell,PREPARING NEXUS...
views.overlays.loading_overlay_view.open_setup,OPEN SETUP
views.overlays.loading_overlay_view.check_install,CHECK INSTALL
views.overlays.loading_overlay_view.nexus_server_boot,COMFYUI SERVER // STANDBY
views.overlays.loading_overlay_view.comfyui_configuration_is_ready_start_the_backend_service,ComfyUI configuration is ready.\nStart the backend service to continue.
views.overlays.loading_overlay_view.state,STATE
views.overlays.loading_overlay_view.engage_server,ENGAGE SERVER
views.overlays.loading_overlay_view.start_backend_link,START BACKEND LINK
views.overlays.loading_overlay_view.repair_cuda_runtime,REPAIR CUDA RUNTIME
views.overlays.loading_overlay_view.access_denied_core_link_not_found,ACCESS DENIED: CORE LINK NOT FOUND
views.overlays.loading_overlay_view.nexus_shell_utilities_require_access_to_your_comfyui_roo,Nexus Shell requires access to your ComfyUI root directory.\nPlease establish a link to continue.
views.overlays.loading_overlay_view.select_comfyui_core_directory,SELECT COMFYUI CORE DIRECTORY
views.overlays.loading_overlay_view.no_comfyui_core_detected_on_this_terminal,No ComfyUI core detected on this terminal?
views.overlays.loading_overlay_view.get_official_launcher,GET OFFICIAL LAUNCHER
views.overlays.loading_overlay_view.clone_from_github,CLONE FROM GITHUB
views.overlays.loading_overlay_view.nexus_maintenance,NEXUS MAINTENANCE
views.overlays.loading_overlay_view.backend_process_already_starting,ComfyUI server is already starting.\nChecking the port connection and API readiness.
views.overlays.loading_overlay_view.backend_offline_engage,ComfyUI server is currently offline.\nStart the server to continue preparing Nexus.
views.overlays.loading_overlay_view.recover_runtime_and_boot_title,Recover runtime and boot?
views.overlays.loading_overlay_view.recover_runtime_and_boot_message,"This will sync ComfyUI requirements, repair the CUDA PyTorch wheel for the selected server runtime, then start the server. It can take several minutes.\n\nTarget: {0}"
views.overlays.loading_overlay_view.preparing_runtime_cleanup_recovery,Preparing runtime cleanup recovery.\nInput is locked until maintenance completes.
views.overlays.loading_overlay_view.stopping_runtime_processes,Stopping runtime processes and cleaning LocalRuntime before setup resumes.
views.overlays.loading_overlay_view.retry_cleanup,RETRY CLEANUP
views.overlays.loading_overlay_view.backend_alive_waiting_for_port,Backend process is alive.\nWaiting for the ComfyUI port to accept connections.
views.overlays.loading_overlay_view.repairing_runtime_before_backend_launch,Repairing runtime dependencies before backend launch.\nLive log is attached below.
views.overlays.loading_overlay_view.starting_backend_process,Starting the ComfyUI server.\nLive server logs appear below.
views.overlays.loading_overlay_view.maintenance_completed_setup,Maintenance is complete.\nResuming setup.
views.overlays.loading_overlay_view.backend_ready_handoff,ComfyUI server is ready.\nConnecting the Nexus interface.
views.overlays.loading_overlay_view.backend_online_title,Backend Online
views.overlays.loading_overlay_view.comfyui_ready_loading_nexus_interface,ComfyUI is ready.\nLoading Nexus interface.
views.overlays.loading_overlay_view.finalizing_nexus_link,FINALIZING NEXUS LINK...
views.overlays.loading_overlay_view.nexus_app_entry_not_connected,Nexus App Entry is not connected.
views.overlays.loading_overlay_view.booting,BOOTING
views.overlays.loading_overlay_view.engaging,ENGAGING
views.overlays.loading_overlay_view.awaiting_port,AWAITING PORT
views.overlays.loading_overlay_view.waiting,WAITING
views.overlays.loading_overlay_view.failed,FAILED
views.overlays.loading_overlay_view.cleaning,CLEANING
views.overlays.loading_overlay_view.recovery_failed,RECOVERY FAILED
views.overlays.loading_overlay_view.clean,CLEAN
views.overlays.loading_overlay_view.continue_cleanup,CONTINUE CLEANUP
views.overlays.loading_overlay_view.set_host_used_when_nexus_starts_comfyui,Set the host used when Nexus starts ComfyUI.
views.overlays.loading_overlay_view.use_compact_host_without_spaces,Use a compact host value without spaces.
views.overlays.loading_overlay_view.set_port_used_when_nexus_starts_comfyui,Set the port used when Nexus starts ComfyUI.
views.overlays.loading_overlay_view.use_port_between_1_and_65535,Use a port between 1 and 65535.
views.overlays.loading_overlay_view.launching_nexus,Launching Nexus
views.overlays.loading_overlay_view.setup_complete_initializing_nexus_shell,Setup is complete.\nInitializing the Nexus shell.
views.overlays.loading_overlay_view.system_booting,SYSTEM BOOTING...
views.overlays.loading_overlay_view.launch_link_missing,Launch Link Missing
views.overlays.loading_overlay_view.launch_failed,LAUNCH FAILED
views.overlays.loading_overlay_view.launch_failed_title,Launch Failed
views.overlays.product_setup_view.select_your_deployment_strategy,SELECT YOUR DEPLOYMENT STRATEGY
views.overlays.product_setup_view.deploy_new_environment,DEPLOY NEW ENVIRONMENT
views.overlays.product_setup_view.build_a_complete_isolated_comfyui_setup_from_scratch_wit,"Build a complete, isolated ComfyUI setup from scratch with optimized Nexus core."
views.overlays.product_setup_view.connect_existing_path,CONNECT EXISTING PATH
views.overlays.product_setup_view.link_your_local_comfyui_folder_and_synchronize_with_nexu,Link your local ComfyUI folder and synchronize with Nexus core.
views.overlays.product_setup_view.initiation_sequence,INITIATION SEQUENCE
views.overlays.product_setup_view.0_0_ready,0/0 READY
views.overlays.product_setup_view.required_systems_are_checked_in_order_optional_modules_s,Required systems are checked in order.\nOptional modules stay available below without interrupting startup.
views.overlays.product_setup_view.optional_setup,OPTIONAL SETUP
views.overlays.product_setup_view.workspace_link,WORKSPACE LINK
views.overlays.product_setup_view.identify_the_root_directory_of_your_existing_comfyui_ins,Identify the root directory of your existing ComfyUI installation.
views.overlays.product_setup_view.command_center,COMMAND CENTER
views.overlays.product_setup_view.system_runtime_monitoring_kernel_v4_2_0_nexus,SYSTEM RUNTIME MONITORING // KERNEL v4.2.0-NEXUS
views.overlays.product_setup_view.boot_matrix,BOOT MATRIX
views.overlays.product_setup_view.cuda_device,CUDA DEVICE
views.overlays.product_setup_view.scanning,Scanning...
views.overlays.product_setup_view.boot_channel,BOOT CHANNEL
views.overlays.product_setup_view.probe,PROBE
views.overlays.product_setup_view.server_state,SERVER STATE
views.overlays.product_setup_view.ready_to_start_backend,Ready to start backend.
views.overlays.product_setup_view.engage_boot,ENGAGE BOOT
views.overlays.product_setup_view.back,BACK
views.overlays.product_setup_view.start,START
views.overlays.settings_overlay_view.nexus_settings,NEXUS SETTINGS
views.overlays.settings_overlay_view.comfyui_runtime_toolchain_server_launch_and_maintenance,"ComfyUI runtime, toolchain, server launch, and maintenance controls."
views.overlays.settings_overlay_view.restart_required_to_apply_pending_changes,Restart required to apply pending changes.
views.overlays.settings_overlay_view.next_boot_checklist,NEXT BOOT CHECKLIST
views.overlays.settings_overlay_view.expand,EXPAND
views.overlays.settings_overlay_view.tools,Tools
views.overlays.settings_overlay_view.server,Server
views.overlays.settings_overlay_view.maintenance,Maintenance
views.overlays.settings_overlay_view.extensions,Extensions
views.overlays.settings_overlay_view.runtime_source,Runtime source
views.overlays.settings_overlay_view.local,LOCAL
views.overlays.settings_overlay_view.custom,CUSTOM
views.overlays.settings_overlay_view.open_folder,OPEN FOLDER
views.overlays.settings_overlay_view.change_path,CHANGE PATH
views.overlays.settings_overlay_view.check_updates,CHECK UPDATES
views.overlays.settings_overlay_view.update_now,UPDATE NOW
views.overlays.settings_overlay_view.check_repository_status_to_see_whether_this_comfyui_chec,Check repository status to see whether this ComfyUI checkout has updates.
views.overlays.settings_overlay_view.comfy_core_source,ComfyUI source
views.overlays.settings_overlay_view.comfy_core_source_remote_detail,Remote Git source.
views.overlays.settings_overlay_view.comfy_core_source_builtin_detail,Nexus compatible source.
views.overlays.settings_overlay_view.comfy_core_source_external_detail,External path uses its own source.
views.overlays.settings_overlay_view.comfy_core_source_remote_scheduled,Remote source sync scheduled.\nSave and restart the server to apply before boot.
views.overlays.settings_overlay_view.comfy_core_source_builtin_scheduled,Built-in compatible source scheduled.\nSave and restart the server to apply before boot.
views.overlays.settings_overlay_view.comfy_core_source_unchanged,ComfyUI source matches the saved setting.
views.overlays.settings_overlay_view.comfy_core_source_builtin_check,Built-in compatible source is managed by Nexus.\nChange the source option and restart to apply it.
views.overlays.settings_overlay_view.system,SYSTEM
views.overlays.settings_overlay_view.built_in,BUILT-IN
views.overlays.settings_overlay_view.runtime_mode,Runtime mode
views.overlays.settings_overlay_view.virtual_environment,Virtual environment
views.overlays.settings_overlay_view.create,CREATE
views.overlays.settings_overlay_view.reset,RESET
views.overlays.settings_overlay_view.delete,DELETE
views.overlays.settings_overlay_view.host,Host
views.overlays.settings_overlay_view.port,Port
views.overlays.settings_overlay_view.detecting_gpu,Detecting GPU...
views.overlays.settings_overlay_view.select_gpu,Select GPU
views.overlays.settings_overlay_view.runtime_recovery,Runtime recovery
views.overlays.settings_overlay_view.clear_the_current_server_log_runtime_repair_is_available,Clear server logs. (Runtime repair is available in Command Center)
views.overlays.settings_overlay_view.clear_log,CLEAR LOG
settings.logs.clear_title,Clear server logs?
settings.logs.clear_message,This clears the latest ComfyUI server log and the active server session log when available.\nTimestamp history logs are kept for diagnostics.
settings.logs.clear_complete,Server logs cleared.
settings.logs.clear_complete_count,Cleared {0} server log file(s).
settings.logs.clear_already_empty,Server logs are already empty.
settings.logs.clear_locked,Cleared {0} server log file(s).\n{1} active log file(s) are locked. Stop the server and run Clear Log again to empty them.
settings.logs.clear_failed,Failed to clear server logs.\n{0}
settings.maintenance.continue,Continue
settings.maintenance.prepare,Prepare
settings.maintenance.prepare_reset,PREPARE RESET
settings.maintenance.queue_title,QUEUEING MAINTENANCE TASK
settings.maintenance.queue_detail,Adding the selected maintenance step to the next boot checklist...
settings.maintenance.reset_settings_title,Reset Nexus settings?
settings.maintenance.reset_settings_message,This resets nexus_settings.json to default values.\nInstalled runtime files, backups, external ComfyUI folders, and external model libraries are not deleted.\nNexus will return to setup after the maintenance step.
settings.maintenance.reset_settings_scheduled,Settings reset scheduled.\nPreparing maintenance recovery...
settings.maintenance.purge_runtime_title,Reset local runtime?
settings.maintenance.purge_runtime_message,"This removes Nexus-managed runtime files under:\n{0}\n\nDeleted data includes built-in ComfyUI, built-in Python/Git, the managed .venv, internal models, and managed custom_nodes stored in LocalRuntime/Installed.\n\nExternal ComfyUI folders and external model libraries are not deleted.\nBackups stored here are kept:\n{1}\n\nBack up internal models and custom_nodes first if you need to keep them."
settings.maintenance.purge_runtime_queue_title,QUEUEING RUNTIME RESET
settings.maintenance.purge_runtime_queue_detail,Preparing the maintenance recovery checklist...
settings.maintenance.purge_runtime_scheduled,Local runtime reset scheduled.\nPreparing maintenance recovery...
settings.venv.create_title,Create .venv?
settings.venv.reset_title,Reset .venv?
settings.venv.delete_title,Delete .venv?
settings.venv.create_message_venv,This creates an isolated ComfyUI .venv folder.\nNexus will install requirements and CUDA PyTorch for VENV launch.\nThe change is applied before the next server boot.
settings.venv.create_message_direct,This creates an isolated ComfyUI .venv folder and repairs its dependencies.\nDIRECT launch mode stays selected until you choose VENV.\nThe change is applied before the next server boot.
settings.venv.reset_message_active,This deletes and recreates the ComfyUI .venv folder.\nInstalled packages inside .venv are removed, then requirements and CUDA PyTorch are repaired.\nRestart the server before using the rebuilt environment.
settings.venv.reset_message_direct,This deletes and recreates the ComfyUI .venv folder.\nInstalled packages inside .venv are removed, then requirements and CUDA PyTorch are repaired.\nDIRECT launch mode stays selected.
settings.venv.delete_message_active,This removes the ComfyUI .venv folder and switches server launch mode to DIRECT.\nPackages installed only inside .venv are deleted.\nRestart the server to apply the change.
settings.venv.delete_message_direct,This removes the ComfyUI .venv folder.\nPackages installed only inside .venv are deleted.\nDIRECT launch mode stays selected.
settings.venv.queue_create_title,QUEUEING VENV CREATE
settings.venv.queue_rebuild_title,QUEUEING VENV REBUILD
settings.venv.queue_delete_title,QUEUEING VENV DELETE
settings.venv.queue_detail,Saving the selected runtime plan and updating the next boot checklist...
settings.venv.create_scheduled,.venv creation scheduled.\nRestart the server to create it before boot.
settings.venv.rebuild_scheduled,.venv rebuild scheduled.\nRestart the server to recreate it before boot.
settings.venv.delete_scheduled,.venv delete scheduled.\nRestart the server to remove it before boot.
views.overlays.settings_overlay_view.runtime_backup,Runtime backup
views.overlays.settings_overlay_view.backup,BACKUP
views.overlays.settings_overlay_view.restore,RESTORE
views.overlays.settings_overlay_view.open_backups,OPEN BACKUPS
views.overlays.settings_overlay_view.settings_reset,Settings reset
views.overlays.settings_overlay_view.reset_nexus_settings_to_defaults_installed_runtime_files,Reset Nexus settings to defaults. Installed runtime files are kept.
views.overlays.settings_overlay_view.reset_settings,RESET SETTINGS
views.overlays.settings_overlay_view.local_runtime_reset,Local runtime reset
views.overlays.settings_overlay_view.deletes_localruntime_installed_on_next_boot_project_back,Deletes managed models and nodes on next boot. Project backups are kept.
views.overlays.settings_overlay_view.reset_local_runtime,RESET LOCAL RUNTIME
views.overlays.settings_overlay_view.dangerous_actions_ask_for_confirmation_before_running,Dangerous actions ask for confirmation before running.
views.overlays.settings_overlay_view.maintenance_log,MAINTENANCE LOG
views.overlays.settings_overlay_view.view_full_log,View full log
views.overlays.settings_overlay_view.essential_custom_nodes,Essential custom nodes
views.overlays.settings_overlay_view.scan,SCAN
views.overlays.settings_overlay_view.sync_update,SYNC / UPDATE
views.overlays.settings_overlay_view.reinstall,REINSTALL
views.overlays.settings_overlay_view.hud_sample_workflows,HUD sample workflows
views.overlays.settings_overlay_view.restore_hud_samples_description,Restore the tutorial workflows bundled with the installed ComfyUI-HUD.
views.overlays.settings_overlay_view.restore_samples,RESTORE SAMPLES
views.overlays.settings_overlay_view.restore_hud_samples_title,Restore HUD Samples
views.overlays.settings_overlay_view.restore_hud_samples_message,Copy the installed HUD sample workflows into your ComfyUI workflows folder.\n\nSource:\n{0}\n\nTarget:\n{1}
views.overlays.settings_overlay_view.restore_hud_samples_conflict_message,The HUD sample folder already contains workflow files.\n\nChoose whether to restore only missing files or replace the bundled samples.\n\nSource:\n{0}\n\nTarget:\n{1}
views.overlays.settings_overlay_view.restore_missing,RESTORE MISSING
views.overlays.settings_overlay_view.replace_samples,REPLACE SAMPLES
views.overlays.settings_overlay_view.restoring_hud_samples,Restoring HUD sample workflows...
views.overlays.settings_overlay_view.hud_samples_restored,HUD sample workflows restored.
views.overlays.settings_overlay_view.hud_samples_restore_failed,HUD sample restore failed: {0}
views.overlays.settings_overlay_view.custom_nodes_folder_status,Custom nodes folder: {0}
views.overlays.settings_overlay_view.scanning_extensions_title,SCANNING CUSTOM NODES
views.overlays.settings_overlay_view.scanning_extensions_detail,Checking installation state and Git revisions...
views.overlays.settings_overlay_view.queueing_extension_update_title,QUEUEING EXTENSION UPDATE
views.overlays.settings_overlay_view.queueing_extension_reinstall_title,QUEUEING EXTENSION REINSTALL
views.overlays.settings_overlay_view.queueing_extensions_detail,Saving the selected custom-node tasks for the next boot...
views.overlays.settings_overlay_view.extension_scan_failed,Custom-node scan failed: {0}
settings.extensions.select_at_least_one,Select at least one Nexus-managed extension to fix.
settings.extensions.confirm_sync_title,Sync selected extensions?
settings.extensions.confirm_reinstall_title,Reinstall selected extensions?
settings.extensions.confirm_sync_message,Nexus will queue git sync/update and the install process for the selected extension(s) on the next boot.\n\nSelected:\n- {0}
settings.extensions.confirm_reinstall_message,"Nexus will queue folder delete, fresh clone, and install process for the selected extension(s) on the next boot.\n\nSelected:\n- {0}"
settings.extensions.queue_sync,Queue Sync
settings.extensions.queue_reinstall,Queue Reinstall
settings.extensions.sync_scheduled,Selected extension sync/update scheduled.\nRestart the server to run it before boot.
settings.extensions.reinstall_scheduled,Selected extension reinstall scheduled.\nRestart the server to run it before boot.
settings.extensions.repair_queued,Managed extension repair is queued for the next boot.
settings.extensions.scanning_status,Scanning Nexus-managed extensions...
settings.extensions.scan_ready,All managed extensions are ready.\nFolder: {0}
settings.extensions.scan_missing,Missing managed extension(s).\nFolder: {0}
settings.extensions.scan_failed_status,Extension scan failed.\nFolder: {0}
settings.extensions.pending_title_all,Fix managed extensions
settings.extensions.pending_title_count,Fix {0} managed extension(s)
settings.extensions.pending_detail_all,Sync and reinstall only Nexus-managed required custom nodes. Other custom nodes are left alone.
settings.extensions.pending_detail_targets,{0}: {1}
settings.extensions.action_reinstall,Reinstall
settings.extensions.action_sync_update,Sync/update
settings.pending_tasks.restart_reason,Queued boot tasks: {0}
settings.pending_tasks.queued_for_next_boot,Queued for next boot: {0}
settings.pending_tasks.queued_for_next_boot_heading,Queued for next boot
settings.pending_tasks.queued_count,{0} QUEUED
settings.pending_tasks.expand,EXPAND
settings.pending_tasks.collapse,COLLAPSE
settings.pending_tasks.running,RUNNING
settings.pending_tasks.required,REQUIRED
settings.pending_tasks.runtime_purge_title,Reset local runtime
settings.pending_tasks.reset_setup_title,Reset setup choices
settings.pending_tasks.reset_all_title,Reset settings
settings.pending_tasks.comfy_update_title,Update ComfyUI
settings.pending_tasks.venv_create_title,Create .venv
settings.pending_tasks.venv_rebuild_title,Rebuild .venv
settings.pending_tasks.venv_delete_title,Delete .venv
settings.pending_tasks.runtime_repair_title,Repair runtime dependencies
settings.pending_tasks.runtime_purge_detail,"Stop runtime processes, delete LocalRuntime/Installed and Nexus pip cache, then return to setup."
settings.pending_tasks.reset_setup_detail,Restore setup path and runtime launch choices before setup resumes.
settings.pending_tasks.reset_all_detail,Restore the settings file to defaults before setup resumes. Installed files are kept.
settings.pending_tasks.comfy_update_detail,"Run git pull, sync requirements, and repair the selected Python runtime."
settings.pending_tasks.venv_create_detail,Create the managed ComfyUI .venv and repair its dependencies before VENV launch.
settings.pending_tasks.venv_rebuild_detail,"Delete and recreate the managed ComfyUI .venv, then repair dependencies."
settings.pending_tasks.venv_delete_detail,Remove the managed ComfyUI .venv before launching with DIRECT Python.
settings.pending_tasks.runtime_repair_detail,Sync requirements and CUDA PyTorch for the selected server runtime.
settings.pending_tasks.generic_detail,This task will run before server boot.
settings.operations.settings_operation,settings operation
settings.operations.select_comfy_path,selecting ComfyUI path
settings.operations.open_folder,opening folder
settings.operations.check_comfy_updates,checking updates
settings.operations.apply_comfy_update,updating ComfyUI
settings.operations.repair_runtime,repairing runtime
settings.operations.select_custom_git,selecting Git
settings.operations.select_custom_python,selecting Python
settings.operations.select_pip_cache,selecting pip cache
settings.operations.open_pip_cache,opening pip cache
settings.operations.clear_pip_cache,clearing pip cache
settings.operations.venv_maintenance,.venv maintenance
settings.operations.open_extensions_folder,opening extensions folder
settings.operations.scan_extensions,scanning extensions
settings.operations.repair_extensions,installing extensions
settings.operations.clear_server_log,clearing server log
settings.operations.reset_settings,resetting settings
settings.operations.backup_runtime_data,backing up runtime data
settings.operations.restore_runtime_data,restoring runtime data
settings.operations.delete_runtime_backup,deleting runtime backup
settings.operations.purge_local_runtime,purging runtime
settings.status.working,WORKING
settings.status.running_detail,Running: {0}
settings.status.language_changed,LANGUAGE CHANGED
settings.status.app_restart,APP RESTART
settings.status.language_changed_detail,"Save language changes, then close and reopen Nexus to apply them everywhere."
settings.status.app_restart_detail,Close and reopen Nexus to apply the saved language everywhere.
settings.status.changed_restart,CHANGED + RESTART
settings.status.restart_required,RESTART REQUIRED
settings.status.changed_restart_detail,"Save changes, then restart the server to apply the runtime diff."
settings.status.restart_required_detail,Restart required: {0}
settings.status.changed,CHANGED
settings.status.changed_detail,You have unsaved settings changes.
settings.status.saved,SAVED
settings.status.saved_detail,All settings are saved.
settings.actions.save_restart,SAVE & RESTART
settings.actions.run_tasks_restart,RUN TASKS & RESTART
settings.actions.run_restart,Run & Restart
settings.restart.save_restart_title,Save and restart server?
settings.restart.save_restart_message,Restarting now will save your pending settings first, then relaunch ComfyUI with the saved configuration.{0}
settings.restart.run_tasks_title,Run queued boot tasks?
settings.restart.run_tasks_message,Nexus will run these tasks before starting ComfyUI:\n\n- {0}
views.overlays.settings_overlay_view.discard,DISCARD
views.overlays.settings_overlay_view.save_changes,SAVE CHANGES
views.overlays.settings_overlay_view.queueing_task,QUEUEING TASK
views.overlays.settings_overlay_view.applying_settings_safely,Applying settings safely...
views.overlays.settings_overlay_view.comfyui_operation_log,COMFYUI OPERATION LOG
views.overlays.settings_overlay_view.full_process_output_for_the_latest_settings_operation,Full process output for the latest settings operation.
views.rail.rail_view.assets,Assets
views.rail.rail_view.media_assets,Media Assets
views.rail.rail_view.node_library,Node Library
views.rail.rail_view.toggle_apps,Toggle Apps
views.rail.rail_view.templates,Templates
views.rail.rail_view.settings,Settings
views.rail.tools.assets.assets_browser_view.assets,ASSETS
views.rail.tools.assets.assets_browser_view.current_location,CURRENT LOCATION
views.rail.tools.assets.assets_browser_view.model_libraries,MODEL LIBRARIES
views.rail.tools.assets.assets_browser_view.model_libraries_internal_only,Internal models only
views.rail.tools.assets.assets_browser_view.model_libraries_external_count,Internal + {0} external library root(s)
views.rail.tools.assets.assets_browser_view.open_current_folder_in_explorer,Open current folder in Explorer
views.rail.tools.assets.assets_browser_view.search_assets,Search assets...
views.rail.tools.assets.assets_browser_view.search_assets_help,Filter the current asset list.
views.rail.tools.assets.assets_browser_view.no_matching_assets_found,No matching assets found.
views.rail.tools.assets.assets_browser_view.bookmarks,Asset bookmark
views.rail.tools.assets.assets_browser_view.bookmarks_help,Choose a saved asset location.
views.rail.tools.assets.assets_browser_view.updating_assets,Updating Assets...
views.rail.tools.media_assets.media_assets_view.title,MEDIA ASSETS
views.rail.tools.media_assets.media_assets_view.refresh,Refresh media assets
views.rail.tools.media_assets.media_assets_view.open_folder,Open active media folder
views.rail.tools.media_assets.media_assets_view.output,Output
views.rail.tools.media_assets.media_assets_view.input,Input
views.rail.tools.media_assets.media_assets_view.output_feed_title,Generated results
views.rail.tools.media_assets.media_assets_view.output_feed_description,Synced from ComfyUI Job Queue
views.rail.tools.media_assets.media_assets_view.empty_title,No media assets yet
views.rail.tools.media_assets.media_assets_view.empty_description,Generated or imported image files will appear here.
views.rail.tools.media_assets.media_assets_view.loading_title,Preparing thumbnails
views.rail.tools.media_assets.media_assets_view.loading_description,Scanning the active media folder...
views.rail.tools.media_assets.media_assets_view.delete_selected_message,Delete {0} selected media files?
views.rail.tools.media_assets.media_assets_view.sort_recent_desc,Recent ↓
views.rail.tools.media_assets.media_assets_view.sort_recent_asc,Recent ↑
views.rail.tools.media_assets.media_assets_view.view_mode,Thumbnail columns
views.rail.tools.media_assets.media_assets_view.search_results,Search results...
views.rail.tools.media_assets.media_assets_view.search_results_help,Filter the current media list.
views.rail.tools.media_assets.media_assets_view.deselect_all,Deselect all
views.rail.tools.media_assets.media_assets_view.move_to,Move to...
views.rail.tools.media_assets.media_assets_view.move_picker_title,Move Media Files
views.rail.tools.media_assets.media_assets_view.move_confirm_title,Move Media Files
views.rail.tools.media_assets.media_assets_view.move_confirm_message,Move {0} selected media files?\nThe original files will be removed from their current location.\nTarget: {1}
views.rail.tools.media_assets.media_assets_view.move_conflict_message,Some files already exist in the destination.\nConflicting files will be renamed automatically before moving.
views.rail.tools.media_assets.media_assets_view.move,Move
views.rail.tools.node_library.node_library_view.expand_all,Expand All
