key,text
views.controls.option_deck.run_mode_option_deck_view.run,실행
views.controls.option_deck.run_mode_option_deck_view.run_on_change,변경 시 실행
views.controls.option_deck.run_mode_option_deck_view.run_instant,즉시 실행
views.overlays.bookmark_hud_view.nexus_workflow_index,워크플로우 인덱스
views.overlays.bookmark_hud_view.search_workflows,워크플로우 검색...
views.overlays.bookmark_hud_view.0_workflows_registered,등록된 워크플로우 없음
views.overlays.canvas_toolbar_view.help_center,도움말 센터
views.overlays.canvas_toolbar_view.terminal,터미널
views.overlays.canvas_toolbar_view.shortcuts,단축키
views.overlays.canvas_toolbar_view.fit,맞춤 화면
views.overlays.canvas_toolbar_view.map,맵
views.overlays.canvas_toolbar_view.links,링크
views.overlays.command_input_view.console,콘솔
views.overlays.loading_overlay_view.nexus_shell,NEXUS 셸
views.overlays.loading_overlay_view.initializing_nexus_shell,NEXUS 셸 초기화 중...
views.overlays.loading_overlay_view.open_setup,설정 열기
views.overlays.loading_overlay_view.check_install,설치 확인
views.overlays.loading_overlay_view.nexus_server_boot,NEXUS 서버 부팅
views.overlays.loading_overlay_view.comfyui_configuration_is_ready_start_the_backend_service,설정이 완료되었습니다.\n백엔드 서비스를 시작하세요.
views.overlays.loading_overlay_view.state,상태
views.overlays.loading_overlay_view.engage_server,서버 실행
views.overlays.loading_overlay_view.start_backend_link,백엔드 링크 시작
views.overlays.loading_overlay_view.repair_cuda_runtime,CUDA 런타임 복구
views.overlays.loading_overlay_view.access_denied_core_link_not_found,액세스 거부: 코어 링크 없음
views.overlays.loading_overlay_view.nexus_shell_utilities_require_access_to_your_comfyui_roo,Nexus 유틸리티를 사용하려면 ComfyUI 루트 디렉터리를 연결해야 합니다.\n계속하려면 연결을 설정하세요.
views.overlays.loading_overlay_view.select_comfyui_core_directory,ComfyUI 코어 디렉토리 선택
views.overlays.loading_overlay_view.no_comfyui_core_detected_on_this_terminal,ComfyUI 코어가 감지되지 않습니까?
views.overlays.loading_overlay_view.get_official_launcher,공식 런처 다운로드
views.overlays.loading_overlay_view.clone_from_github,GitHub에서 복제
views.overlays.loading_overlay_view.nexus_maintenance,NEXUS 유지 관리
views.overlays.loading_overlay_view.backend_process_already_starting,백엔드가 시작 중입니다. 아래 실시간 로그를 참조하세요.
views.overlays.loading_overlay_view.backend_offline_engage,ComfyUI 백엔드가 오프라인입니다. 계속하려면 서버를 가동하세요.
views.overlays.loading_overlay_view.recover_runtime_and_boot_title,런타임 복구 후 부팅하시겠습니까?
views.overlays.loading_overlay_view.recover_runtime_and_boot_message,"ComfyUI 요구사항을 동기화하고, 선택한 런타임의 CUDA PyTorch를 복구한 후 서버를 시작합니다. 몇 분 정도 소요될 수 있습니다.\n\n대상: {0}"
views.overlays.loading_overlay_view.preparing_runtime_cleanup_recovery,런타임 정리 및 복구를 준비 중입니다.\n작업이 완료될 때까지 입력이 제한됩니다.
views.overlays.loading_overlay_view.stopping_runtime_processes,런타임 프로세스를 중지하고 LocalRuntime을 정리하는 중입니다.
views.overlays.loading_overlay_view.retry_cleanup,정리 재시도
views.overlays.loading_overlay_view.runtime_cleanup_complete_setup,런타임 정리가 완료되었습니다. 설정을 재개합니다.
views.overlays.loading_overlay_view.backend_alive_waiting_for_port,백엔드 프로세스가 활성 상태입니다.\nComfyUI 포트 연결을 기다리는 중입니다.
views.overlays.loading_overlay_view.repairing_runtime_before_backend_launch,백엔드 시작 전 런타임 의존성을 복구 중입니다.\n실시간 로그가 아래에 표시됩니다.
views.overlays.loading_overlay_view.starting_backend_process,백엔드 프로세스를 시작합니다. 실시간 서버 로그가 아래에 표시됩니다.
views.overlays.loading_overlay_view.maintenance_completed_setup,유지 관리가 완료되었습니다. 설정을 재개합니다.
views.overlays.loading_overlay_view.backend_ready_handoff,백엔드 준비가 완료되었습니다. Nexus 셸 제어권 전환을 준비 중입니다.
views.overlays.loading_overlay_view.backend_online_title,백엔드 온라인
views.overlays.loading_overlay_view.comfyui_ready_loading_nexus_interface,ComfyUI 준비 완료. Nexus 인터페이스를 로드합니다.
views.overlays.loading_overlay_view.finalizing_nexus_link,NEXUS 링크 마무리 중...
views.overlays.loading_overlay_view.nexus_app_entry_not_connected,Nexus App Entry가 연결되지 않았습니다.
views.overlays.loading_overlay_view.booting,부팅 중
views.overlays.loading_overlay_view.engaging,가동 중
views.overlays.loading_overlay_view.awaiting_port,포트 대기 중
views.overlays.loading_overlay_view.waiting,대기 중
views.overlays.loading_overlay_view.failed,실패
views.overlays.loading_overlay_view.cleaning,정리 중
views.overlays.loading_overlay_view.recovery_failed,복구 실패
views.overlays.loading_overlay_view.clean,정리
views.overlays.loading_overlay_view.continue_cleanup,정리 계속
views.overlays.loading_overlay_view.set_host_used_when_nexus_starts_comfyui,Nexus가 ComfyUI를 시작할 때 사용할 호스트를 설정하세요.
views.overlays.loading_overlay_view.use_compact_host_without_spaces,공백이 없는 압축된 호스트 값을 사용하세요.
views.overlays.loading_overlay_view.set_port_used_when_nexus_starts_comfyui,Nexus가 ComfyUI를 시작할 때 사용할 포트를 설정하세요.
views.overlays.loading_overlay_view.use_port_between_1_and_65535,1에서 65535 사이의 포트를 사용하세요.
views.overlays.loading_overlay_view.launching_nexus,Nexus 실행 중
views.overlays.loading_overlay_view.setup_complete_initializing_nexus_shell,설정이 완료되었습니다. Nexus 셸을 초기화합니다.
views.overlays.loading_overlay_view.system_booting,시스템 부팅 중...
views.overlays.loading_overlay_view.launch_link_missing,실행 링크 누락
views.overlays.loading_overlay_view.launch_failed,실행 실패
views.overlays.loading_overlay_view.launch_failed_title,실행 실패
views.overlays.product_setup_view.select_your_deployment_strategy,배포 전략 선택
views.overlays.product_setup_view.deploy_new_environment,새 환경 배포
views.overlays.product_setup_view.build_a_complete_isolated_comfyui_setup_from_scratch_wit,격리된 ComfyUI 환경을 처음부터 새롭게 구축합니다.
views.overlays.product_setup_view.connect_existing_path,기존 경로 연결
views.overlays.product_setup_view.link_your_local_comfyui_folder_and_synchronize_with_nexu,로컬 폴더를 연결하고 Nexus 코어와 동기화합니다.
views.overlays.product_setup_view.initiation_sequence,시스템 점검 시퀀스
views.overlays.product_setup_view.0_0_ready,0/0 준비됨
views.overlays.product_setup_view.required_systems_are_checked_in_order_optional_modules_s,필수 시스템을 순서대로 확인합니다.\n선택 모듈은 시작을 방해하지 않고 아래에서 설정할 수 있습니다.
views.overlays.product_setup_view.optional_setup,선택적 설정
views.overlays.product_setup_view.workspace_link,워크스페이스 링크
views.overlays.product_setup_view.identify_the_root_directory_of_your_existing_comfyui_ins,기존 ComfyUI 설치 경로를 지정하세요.
views.overlays.product_setup_view.nexus_core_command_center,NEXUS 코어 커맨드 센터
views.overlays.product_setup_view.system_runtime_monitoring_kernel_v4_2_0_nexus,시스템 모니터링 // 커널 v4.2.0-NEXUS
views.overlays.product_setup_view.boot_matrix,부트 매트릭스
views.overlays.product_setup_view.cuda_device,CUDA 장치
views.overlays.product_setup_view.scanning,스캔 중...
views.overlays.product_setup_view.boot_channel,부트 채널
views.overlays.product_setup_view.probe,프로브
views.overlays.product_setup_view.server_state,서버 상태
views.overlays.product_setup_view.ready_to_start_backend,백엔드 시작 준비 완료.
views.overlays.product_setup_view.engage_boot,부팅 시작
views.overlays.product_setup_view.back,뒤로
views.overlays.product_setup_view.start,시작
views.overlays.settings_overlay_view.nexus_settings,NEXUS 설정
views.overlays.settings_overlay_view.comfyui_runtime_toolchain_server_launch_and_maintenance,런타임
views.overlays.settings_overlay_view.restart_required_to_apply_pending_changes,변경 사항 적용을 위해 재시작이 필요합니다.
views.overlays.settings_overlay_view.next_boot_checklist,부팅 체크리스트
views.overlays.settings_overlay_view.expand,펼치기
views.overlays.settings_overlay_view.tools,도구
views.overlays.settings_overlay_view.server,서버
views.overlays.settings_overlay_view.maintenance,유지 관리
views.overlays.settings_overlay_view.extensions,확장 기능
views.overlays.settings_overlay_view.about,정보
views.overlays.settings_overlay_view.runtime_source,런타임 소스
views.overlays.settings_overlay_view.local,로컬
views.overlays.settings_overlay_view.custom,사용자 정의
views.overlays.settings_overlay_view.open_folder,폴더 열기
views.overlays.settings_overlay_view.change_path,경로 변경
views.overlays.settings_overlay_view.check_updates,업데이트 확인
views.overlays.settings_overlay_view.update_now,지금 업데이트
views.overlays.settings_overlay_view.check_repository_status_to_see_whether_this_comfyui_chec,저장소의 업데이트 여부를 확인합니다.
views.overlays.settings_overlay_view.system,시스템
views.overlays.settings_overlay_view.built_in,내장
views.overlays.settings_overlay_view.runtime_mode,런타임 모드
views.overlays.settings_overlay_view.virtual_environment,가상 환경
views.overlays.settings_overlay_view.create,생성
views.overlays.settings_overlay_view.reset,초기화
views.overlays.settings_overlay_view.delete,삭제
views.overlays.settings_overlay_view.host,호스트
views.overlays.settings_overlay_view.port,포트
views.overlays.settings_overlay_view.detecting_gpu,GPU 감지 중...
views.overlays.settings_overlay_view.select_gpu,GPU 선택
views.overlays.settings_overlay_view.runtime_recovery,런타임 복구
views.overlays.settings_overlay_view.clear_the_current_server_log_runtime_repair_is_available,서버 로그를 초기화합니다. (런타임 복구는 커맨드 센터 이용)
views.overlays.settings_overlay_view.clear_log,로그 삭제
settings.logs.clear_title,서버 로그를 삭제할까요?
settings.logs.clear_message,최근 ComfyUI 서버 로그와 실행 중인 서버 세션 로그를 비웁니다.\n진단용 타임스탬프 히스토리 로그는 유지합니다.
settings.logs.clear_complete,서버 로그를 삭제했습니다.
settings.logs.clear_complete_count,서버 로그 파일 {0}개를 비웠습니다.
settings.logs.clear_already_empty,서버 로그가 이미 비어 있습니다.
settings.logs.clear_locked,서버 로그 파일 {0}개를 비웠습니다.\n실행 중인 로그 파일 {1}개는 잠겨 있습니다. 서버를 중지한 뒤 로그 삭제를 다시 실행하세요.
settings.logs.clear_failed,서버 로그 삭제에 실패했습니다.\n{0}
settings.maintenance.continue,계속
settings.maintenance.prepare,준비
settings.maintenance.prepare_reset,초기화 준비
settings.maintenance.queue_title,유지 관리 작업 준비 중
settings.maintenance.queue_detail,선택한 유지 관리 작업을 다음 부팅 체크리스트에 추가합니다...
settings.maintenance.reset_settings_title,Nexus 설정을 초기화할까요?
settings.maintenance.reset_settings_message,nexus_settings.json을 기본값으로 되돌립니다.\n설치된 런타임 파일, 백업, 외부 ComfyUI 폴더, 외부 모델 라이브러리는 삭제하지 않습니다.\n유지 관리 작업 후 Nexus는 setup으로 돌아갑니다.
settings.maintenance.reset_settings_scheduled,설정 초기화를 예약했습니다. 유지 관리 복구를 준비합니다...
settings.maintenance.purge_runtime_title,로컬 런타임을 초기화할까요?
settings.maintenance.purge_runtime_message,"Nexus가 관리하는 런타임 파일을 삭제합니다:\n{0}\n\n삭제 대상에는 built-in ComfyUI, built-in Python/Git, 관리되는 .venv, 내부 models, LocalRuntime/Installed 안의 관리 custom_nodes가 포함됩니다.\n\n외부 ComfyUI 폴더와 외부 모델 라이브러리는 삭제하지 않습니다.\n아래 백업 위치의 백업은 유지됩니다:\n{1}\n\n내부 models 또는 custom_nodes를 보존해야 한다면 먼저 백업하세요."
settings.maintenance.purge_runtime_queue_title,런타임 초기화 준비 중
settings.maintenance.purge_runtime_queue_detail,유지 관리 복구 체크리스트를 준비합니다...
settings.maintenance.purge_runtime_scheduled,로컬 런타임 초기화를 예약했습니다. 유지 관리 복구를 준비합니다...
settings.venv.create_title,.venv를 생성할까요?
settings.venv.reset_title,.venv를 초기화할까요?
settings.venv.delete_title,.venv를 삭제할까요?
settings.venv.create_message_venv,격리된 ComfyUI .venv 폴더를 생성합니다.\nVENV 실행에 필요한 requirements와 CUDA PyTorch를 설치합니다.\n변경 사항은 다음 서버 부팅 전에 적용됩니다.
settings.venv.create_message_direct,격리된 ComfyUI .venv 폴더를 생성하고 의존성을 복구합니다.\nVENV를 선택하기 전까지 DIRECT 실행 모드는 유지됩니다.\n변경 사항은 다음 서버 부팅 전에 적용됩니다.
settings.venv.reset_message_active,ComfyUI .venv 폴더를 삭제한 뒤 다시 생성합니다.\n.venv 안에 설치된 패키지는 삭제되고 requirements와 CUDA PyTorch를 다시 복구합니다.\n재구성된 환경을 사용하려면 서버를 재시작하세요.
settings.venv.reset_message_direct,ComfyUI .venv 폴더를 삭제한 뒤 다시 생성합니다.\n.venv 안에 설치된 패키지는 삭제되고 requirements와 CUDA PyTorch를 다시 복구합니다.\nDIRECT 실행 모드는 유지됩니다.
settings.venv.delete_message_active,ComfyUI .venv 폴더를 삭제하고 서버 실행 모드를 DIRECT로 전환합니다.\n.venv 안에만 설치된 패키지는 삭제됩니다.\n변경 사항을 적용하려면 서버를 재시작하세요.
settings.venv.delete_message_direct,ComfyUI .venv 폴더를 삭제합니다.\n.venv 안에만 설치된 패키지는 삭제됩니다.\nDIRECT 실행 모드는 유지됩니다.
settings.venv.queue_create_title,VENV 생성 준비 중
settings.venv.queue_rebuild_title,VENV 재생성 준비 중
settings.venv.queue_delete_title,VENV 삭제 준비 중
settings.venv.queue_detail,선택한 런타임 계획을 저장하고 다음 부팅 체크리스트를 갱신합니다...
settings.venv.create_scheduled,.venv 생성을 예약했습니다. 서버를 재시작하면 부팅 전에 생성됩니다.
settings.venv.rebuild_scheduled,.venv 재생성을 예약했습니다. 서버를 재시작하면 부팅 전에 다시 생성됩니다.
settings.venv.delete_scheduled,.venv 삭제를 예약했습니다. 서버를 재시작하면 부팅 전에 삭제됩니다.
views.overlays.settings_overlay_view.runtime_backup,런타임 백업
views.overlays.settings_overlay_view.create_or_restore_manual_runtime_backups_before_risky_ma,중요 작업 전 런타임 백업을 생성하거나 복원하세요.
views.overlays.settings_overlay_view.backup,백업
views.overlays.settings_overlay_view.restore,복원
views.overlays.settings_overlay_view.open_backups,백업 폴더 열기
views.overlays.settings_overlay_view.backups_can_be_large_delete_or_move_them_after_use_to_fr,디스크 공간 확보를 위해 불필요한 백업은 삭제하세요.
views.overlays.settings_overlay_view.settings_reset,설정 초기화
views.overlays.settings_overlay_view.reset_nexus_settings_to_defaults_installed_runtime_files,Nexus 설정을 기본값으로 초기화합니다. (설치 파일은 유지)
views.overlays.settings_overlay_view.reset_settings,설정 초기화
views.overlays.settings_overlay_view.local_runtime_reset,로컬 런타임 초기화
views.overlays.settings_overlay_view.deletes_localruntime_installed_on_next_boot_project_back,다음 부팅 시 관리되는 런타임의 모델/노드를 삭제합니다.
views.overlays.settings_overlay_view.reset_local_runtime,로컬 런타임 초기화
views.overlays.settings_overlay_view.dangerous_actions_ask_for_confirmation_before_running,위험한 작업은 실행 전 확인을 요청합니다.
views.overlays.settings_overlay_view.maintenance_log,유지 관리 로그
views.overlays.settings_overlay_view.view_full_log,전체 로그 보기
views.overlays.settings_overlay_view.essential_custom_nodes,필수 커스텀 노드
views.overlays.settings_overlay_view.scan,스캔
views.overlays.settings_overlay_view.sync_update,동기화 / 업데이트
views.overlays.settings_overlay_view.reinstall,재설치
views.overlays.settings_overlay_view.hud_sample_workflows,HUD 샘플 워크플로우
views.overlays.settings_overlay_view.restore_hud_samples_description,설치된 ComfyUI-HUD에 포함된 튜토리얼 워크플로우를 다시 복원합니다.
views.overlays.settings_overlay_view.restore_samples,샘플 복원
views.overlays.settings_overlay_view.restore_hud_samples_title,HUD 샘플 복원
views.overlays.settings_overlay_view.restore_hud_samples_message,"설치된 HUD 샘플 워크플로우를 ComfyUI의 workflows 폴더에 복사합니다.\n\n원본:\n{0}\n\n대상:\n{1}"
views.overlays.settings_overlay_view.restore_hud_samples_conflict_message,"HUD 샘플 폴더에 워크플로우 파일이 이미 있습니다.\n\n누락된 파일만 복원하거나 내장 샘플 전체를 교체할 수 있습니다.\n\n원본:\n{0}\n\n대상:\n{1}"
views.overlays.settings_overlay_view.restore_missing,누락 파일 복원
views.overlays.settings_overlay_view.replace_samples,샘플 교체
views.overlays.settings_overlay_view.restoring_hud_samples,HUD 샘플 워크플로우를 복원하는 중...
views.overlays.settings_overlay_view.hud_samples_restored,HUD 샘플 워크플로우를 복원했습니다.
views.overlays.settings_overlay_view.hud_samples_restore_failed,HUD 샘플 복원 실패: {0}
views.overlays.settings_overlay_view.custom_nodes_folder_status,Custom nodes 폴더: {0}
views.overlays.settings_overlay_view.scanning_extensions_title,커스텀 노드 스캔 중
views.overlays.settings_overlay_view.scanning_extensions_detail,설치 상태와 Git revision을 확인하고 있습니다...
views.overlays.settings_overlay_view.queueing_extension_update_title,확장 기능 업데이트 예약 중
views.overlays.settings_overlay_view.queueing_extension_reinstall_title,확장 기능 재설치 예약 중
views.overlays.settings_overlay_view.queueing_extensions_detail,선택한 커스텀 노드 작업을 다음 부팅 목록에 저장하고 있습니다...
views.overlays.settings_overlay_view.extension_scan_failed,커스텀 노드 스캔 실패: {0}
settings.extensions.select_at_least_one,수정할 Nexus 관리 확장 기능을 하나 이상 선택하세요.
settings.extensions.confirm_sync_title,선택한 확장 기능을 동기화할까요?
settings.extensions.confirm_reinstall_title,선택한 확장 기능을 재설치할까요?
settings.extensions.confirm_sync_message,"다음 부팅 때 선택한 확장 기능의 Git 동기화/업데이트와 설치 과정을 예약합니다.\n\n선택 항목:\n- {0}"
settings.extensions.confirm_reinstall_message,"다음 부팅 때 선택한 확장 기능 폴더를 삭제하고 새로 clone한 뒤 설치 과정을 예약합니다.\n\n선택 항목:\n- {0}"
settings.extensions.queue_sync,동기화 예약
settings.extensions.queue_reinstall,재설치 예약
settings.extensions.sync_scheduled,선택한 확장 기능 동기화/업데이트를 예약했습니다. 서버를 재시작하면 부팅 전에 실행됩니다.
settings.extensions.reinstall_scheduled,선택한 확장 기능 재설치를 예약했습니다. 서버를 재시작하면 부팅 전에 실행됩니다.
settings.extensions.repair_queued,관리 확장 기능 복구가 다음 부팅에 예약되어 있습니다.
settings.extensions.scanning_status,Nexus 관리 확장 기능을 스캔하는 중...
settings.extensions.scan_ready,모든 관리 확장 기능이 준비되었습니다. 폴더: {0}
settings.extensions.scan_missing,누락된 관리 확장 기능이 있습니다. 폴더: {0}
settings.extensions.scan_failed_status,확장 기능 스캔에 실패했습니다. 폴더: {0}
settings.extensions.pending_title_all,관리 확장 기능 수정
settings.extensions.pending_title_count,관리 확장 기능 {0}개 수정
settings.extensions.pending_detail_all,Nexus가 관리하는 필수 커스텀 노드만 동기화/재설치합니다. 다른 커스텀 노드는 건드리지 않습니다.
settings.extensions.pending_detail_targets,{0}: {1}
settings.extensions.action_reinstall,재설치
settings.extensions.action_sync_update,동기화/업데이트
settings.pending_tasks.restart_reason,예약된 부팅 작업: {0}
settings.pending_tasks.queued_for_next_boot,다음 부팅 예약: {0}
settings.pending_tasks.queued_for_next_boot_heading,다음 부팅 예약
settings.pending_tasks.queued_count,{0}개 예약됨
settings.pending_tasks.expand,펼치기
settings.pending_tasks.collapse,접기
settings.pending_tasks.running,실행 중
settings.pending_tasks.required,필수
settings.pending_tasks.runtime_purge_title,로컬 런타임 초기화
settings.pending_tasks.reset_setup_title,설정 과정 초기화
settings.pending_tasks.reset_all_title,설정 초기화
settings.pending_tasks.comfy_update_title,ComfyUI 업데이트
settings.pending_tasks.venv_create_title,.venv 생성
settings.pending_tasks.venv_rebuild_title,.venv 재생성
settings.pending_tasks.venv_delete_title,.venv 삭제
settings.pending_tasks.runtime_repair_title,런타임 의존성 복구
settings.pending_tasks.runtime_purge_detail,"런타임 프로세스를 중지하고 LocalRuntime/Installed와 Nexus pip 캐시를 삭제한 뒤 setup으로 돌아갑니다."
settings.pending_tasks.reset_setup_detail,setup 경로와 런타임 실행 선택을 초기화한 뒤 setup을 다시 진행합니다.
settings.pending_tasks.reset_all_detail,설정 파일을 기본값으로 되돌립니다. 설치된 파일은 유지됩니다.
settings.pending_tasks.comfy_update_detail,"git pull, requirements 동기화, 선택된 Python 런타임 복구를 실행합니다."
settings.pending_tasks.venv_create_detail,관리형 ComfyUI .venv를 만들고 VENV 실행 전 의존성을 복구합니다.
settings.pending_tasks.venv_rebuild_detail,"관리형 ComfyUI .venv를 삭제 후 다시 만들고 의존성을 복구합니다."
settings.pending_tasks.venv_delete_detail,DIRECT Python으로 실행하기 전에 관리형 ComfyUI .venv를 제거합니다.
settings.pending_tasks.runtime_repair_detail,선택된 서버 런타임의 requirements와 CUDA PyTorch를 동기화합니다.
settings.pending_tasks.generic_detail,이 작업은 서버 부팅 전에 실행됩니다.
settings.operations.settings_operation,설정 작업
settings.operations.select_comfy_path,ComfyUI 경로 선택 중
settings.operations.open_folder,폴더 여는 중
settings.operations.check_comfy_updates,업데이트 확인 중
settings.operations.apply_comfy_update,ComfyUI 업데이트 중
settings.operations.repair_runtime,런타임 복구 중
settings.operations.select_custom_git,Git 선택 중
settings.operations.select_custom_python,Python 선택 중
settings.operations.select_pip_cache,pip 캐시 선택 중
settings.operations.open_pip_cache,pip 캐시 여는 중
settings.operations.clear_pip_cache,pip 캐시 삭제 중
settings.operations.venv_maintenance,.venv 관리 중
settings.operations.open_extensions_folder,확장 폴더 여는 중
settings.operations.scan_extensions,확장 스캔 중
settings.operations.repair_extensions,확장 설치 중
settings.operations.clear_server_log,서버 로그 삭제 중
settings.operations.reset_settings,설정 초기화 중
settings.operations.backup_runtime_data,런타임 백업 중
settings.operations.restore_runtime_data,런타임 복원 중
settings.operations.delete_runtime_backup,런타임 백업 삭제 중
settings.operations.purge_local_runtime,런타임 초기화 중
settings.status.working,작업 중
settings.status.running_detail,진행 중: {0}
settings.status.language_changed,언어 변경됨
settings.status.app_restart,앱 재시작
settings.status.language_changed_detail,언어 변경을 저장한 뒤 Nexus를 닫고 다시 열면 전체에 적용됩니다.
settings.status.app_restart_detail,저장된 언어를 전체에 적용하려면 Nexus를 닫고 다시 여세요.
settings.status.changed_restart,변경 + 재시작
settings.status.restart_required,재시작 필요
settings.status.changed_restart_detail,변경 사항을 저장한 뒤 서버를 재시작하면 런타임 변경이 적용됩니다.
settings.status.restart_required_detail,재시작 필요: {0}
settings.status.changed,변경됨
settings.status.changed_detail,저장되지 않은 설정 변경이 있습니다.
settings.status.saved,저장됨
settings.status.saved_detail,모든 설정이 저장되었습니다.
settings.actions.save_restart,저장 후 재시작
settings.actions.run_tasks_restart,작업 실행 후 재시작
settings.actions.run_restart,실행 후 재시작
settings.restart.save_restart_title,저장하고 서버를 재시작할까요?
settings.restart.save_restart_message,지금 재시작하면 보류 중인 설정을 먼저 저장한 뒤 저장된 구성으로 ComfyUI를 다시 실행합니다.{0}
settings.restart.run_tasks_title,예약된 부팅 작업을 실행할까요?
settings.restart.run_tasks_message,"Nexus가 ComfyUI 시작 전에 아래 작업을 실행합니다:\n\n- {0}"
views.overlays.settings_overlay_view.discard,취소
views.overlays.settings_overlay_view.save_changes,저장
views.overlays.settings_overlay_view.queueing_task,태스크 대기열 추가 중
views.overlays.settings_overlay_view.applying_settings_safely,설정 적용 중...
views.overlays.settings_overlay_view.comfyui_operation_log,작업 로그
views.overlays.settings_overlay_view.full_process_output_for_the_latest_settings_operation,최신 작업에 대한 상세 프로세스 로그입니다.
views.rail.rail_view.assets,애셋
views.rail.rail_view.media_assets,미디어 애셋
views.rail.rail_view.node_library,노드 라이브러리
views.rail.rail_view.comfyui_assets,ComfyUI 미디어 애셋
views.rail.rail_view.toggle_apps,앱 전환
views.rail.rail_view.templates,템플릿
views.rail.rail_view.settings,설정
views.rail.rail_view.main_menu,메인 메뉴
views.rail.tools.apps.apps_view.apps,앱
views.rail.tools.apps.apps_view.workflow_designer,워크플로우 디자이너
views.rail.tools.apps.apps_view.advanced_node_graph_orchestration_and_management,고급 노드 그래프 관리 및 구성.
views.rail.tools.apps.apps_view.asset_manager,애셋 매니저
views.rail.tools.apps.apps_view.centralized_control_for_all_your_models_and_outputs,모델 및 결과물의 중앙 관리 제어.
views.rail.tools.assets.assets_browser_view.assets,애셋
views.rail.tools.assets.assets_browser_view.current_location,현재 위치
views.rail.tools.assets.assets_browser_view.model_libraries,모델 라이브러리
views.rail.tools.assets.assets_browser_view.model_libraries_internal_only,내부 모델만 사용 중
views.rail.tools.assets.assets_browser_view.model_libraries_external_count,내부 + 외부 라이브러리 {0}개
